ID,Repo,Workflow,Solved_By,Failed_In,Category,Investigation_Priority,Root_Cause,Notes
12,skypilot,format.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
13,skypilot,pylint.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
14,skypilot,format.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
143,aws-cli,source-dist-tests.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
144,aws-cli,run-tests.yml,Backward,Forward + Bidirectional,ONLY Backward,,,
145,aws-cli,run-tests.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
15,skypilot,format.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
22,diffusers,pr_torch_dependency_test.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
229,openai-python,ci.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
230,openai-python,ci.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
237,lightrag,linting.yaml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
25,integration,lint.yaml,Backward,Forward + Bidirectional,ONLY Backward,,,
259,faster-whisper,ci.yml,Forward + Bidirectional,Backward,Fwd+Bidir Only (Back MISSED),,,
260,cosyvoice,lint.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
268,robotframework,unit_tests.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
279,deepcode,linting.yaml,Forward,Backward + Bidirectional,ONLY Forward,,,
291,modmail,lints.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
324,sqlglot,package-test.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
340,agentscope,pre-commit.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
369,aisuite,black.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
371,aisuite,black.yml,Forward + Bidirectional,Backward,Fwd+Bidir Only (Back MISSED),,,
38,httpx,test-suite.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
394,litellm,test-linting.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
40,httpx,test-suite.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
422,docsgpt,pytest.yml,Backward + Bidirectional,Forward,Back+Bidir Only (Fwd MISSED),,,
434,docsgpt,pytest.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
446,axolotl,lint.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
447,axolotl,tests.yml,Bidirectional,Forward + Backward,ONLY Bidirectional,,,
449,axolotl,lint.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
45,google-cloud-python,docs.yml,Backward,Forward + Bidirectional,ONLY Backward,,,
453,axolotl,lint.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
456,axolotl,lint.yml,Forward + Backward,Bidirectional,Fwd+Back Only (Bidir MISSED),,,
458,axolotl,lint.yml,Forward,Backward + Bidirectional,ONLY Forward,,,
