ID,Repo,Workflow,Category,Success_Count,Forward_Success,Backward_Success,Bidirectional_Success,Forward_Status,Backward_Status,Bidirectional_Status,Forward_URL,Backward_URL,Bidirectional_URL
130,autogluon,codespell.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/autogluon/actions/runs/32500044047,https://github.com/RabeyaMuna/autogluon/actions/runs/33790115857,https://github.com/RabeyaMuna/autogluon/actions/runs/33938809477
146,aws-cli,run-tests.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/aws-cli/actions/runs/32499882409,https://github.com/RabeyaMuna/aws-cli/actions/runs/33789893925,https://github.com/RabeyaMuna/aws-cli/actions/runs/33938729817
149,youtube-dl,ci.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/youtube-dl/actions/runs/32499297560,https://github.com/RabeyaMuna/youtube-dl/actions/runs/33789060849,https://github.com/RabeyaMuna/youtube-dl/actions/runs/33938447408
214,cpython,mypy.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/cpython/actions/runs/32500964390,https://github.com/RabeyaMuna/cpython/actions/runs/33794467938,https://github.com/RabeyaMuna/cpython/actions/runs/33939274740
215,cpython,mypy.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/cpython/actions/runs/32500992311,https://github.com/RabeyaMuna/cpython/actions/runs/33794504554,https://github.com/RabeyaMuna/cpython/actions/runs/33939289084
219,OpenManus,pre-commit.yaml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/OpenManus/actions/runs/32501108165,https://github.com/RabeyaMuna/OpenManus/actions/runs/33794638830,https://github.com/RabeyaMuna/OpenManus/actions/runs/33939336244
222,sqlmap,tests.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/sqlmap/actions/runs/32500968231,https://github.com/RabeyaMuna/sqlmap/actions/runs/33794472920,https://github.com/RabeyaMuna/sqlmap/actions/runs/33939276832
23,yt-dlp,quick-test.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/yt-dlp/actions/runs/32499209006,https://github.com/RabeyaMuna/yt-dlp/actions/runs/33788943134,https://github.com/RabeyaMuna/yt-dlp/actions/runs/33938404150
238,lightrag,linting.yaml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/LightRAG/actions/runs/32500734673,https://github.com/RabeyaMuna/LightRAG/actions/runs/33794053865,https://github.com/RabeyaMuna/LightRAG/actions/runs/33939147494
24,integration,lint.yaml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/integration/actions/runs/32499167811,https://github.com/RabeyaMuna/integration/actions/runs/33788884932,https://github.com/RabeyaMuna/integration/actions/runs/33938382632
246,celery,linter.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/celery/actions/runs/32500685390,https://github.com/RabeyaMuna/celery/actions/runs/33793965686,https://github.com/RabeyaMuna/celery/actions/runs/33939124579
255,glances,ci.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/glances/actions/runs/32500821064,https://github.com/RabeyaMuna/glances/actions/runs/33794173648,https://github.com/RabeyaMuna/glances/actions/runs/33939191801
277,sqlglot,package-test.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/sqlglot/actions/runs/32500606421,https://github.com/RabeyaMuna/sqlglot/actions/runs/33793816316,https://github.com/RabeyaMuna/sqlglot/actions/runs/33939088039
28,optuna,checks.yml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/optuna/actions/runs/32499133721,https://github.com/RabeyaMuna/optuna/actions/runs/33788838140,https://github.com/RabeyaMuna/optuna/actions/runs/33938365082
280,deepcode,linting.yaml,All 3 Solved,3,✓,✓,✓,success,success,success,https://github.com/Muna4029/DeepCode/actions/runs/32500694347,https://github.com/RabeyaMuna/DeepCode/actions/runs/33793979370,https://github.com/RabeyaMuna/DeepCode/actions/runs/33939129327
