Repo,Total_Success,All_3,Only_Forward,Only_Backward,Only_Bidirectional,Fwd+Back_Only
LightRAG,2,2,0,0,0,0
accelerate,3,2,1,0,0,0
agentscope,3,2,0,0,0,1
aisuite,4,2,0,0,0,0
aws-cli,4,1,1,1,0,0
axolotl,25,11,5,1,2,5
browser-use,4,0,0,1,3,0
conan,17,4,2,1,1,5
cpython,2,2,0,0,0,0
crewai,7,3,0,0,1,1
deepcode,3,2,1,0,0,0
django-import-export,4,4,0,0,0,0
docsgpt,3,1,1,0,0,0
httpx,4,2,0,0,0,2
integration,2,1,0,1,0,0
lightrag,2,1,0,0,0,0
litellm,10,9,0,0,0,1
maxkb,9,9,0,0,0,0
openai-python,2,0,0,0,1,0
seaborn,2,1,0,0,0,1
skypilot,4,0,1,0,0,1
sqlglot,3,2,0,0,0,1
